P_extract_Pa,P_extract_MPa,eta,y
11072936.97050893,11.072936970508929,0.45847715334892797,0.3946154603126752
11175422.87468606,11.17542287468606,0.4581820227418024,0.3954878835586178
11277908.778863192,11.27790877886319,0.45788669146015437,0.3963573758104302
11380394.683040323,11.380394683040322,0.45759115383144333,0.3972240481052543
11482880.587217454,11.482880587217453,0.4572954040542922,0.3980880100823765
11585366.491394587,11.585366491394588,0.45699943619831346,0.3989493700930092
11687852.395571718,11.687852395571719,0.4567032442036003,0.39980823530903953
11790338.29974885,11.79033829974885,0.4564068218798889,0.40066471183108765
11892824.20392598,11.892824203925981,0.4561101629053813,0.40151890479618785
11995310.108103111,11.995310108103112,0.4558132608252282,0.4023709184854155
12097796.012280243,12.097796012280243,0.4555161090496609,0.40322085643175176
12200281.916457374,12.200281916457374,0.45521870085176364,0.40406882152850926
12302767.820634505,12.302767820634505,0.4549210293648766,0.40491491613862735
12405253.724811636,12.405253724811637,0.4546230875796105,0.40575924220516646
12507739.628988767,12.507739628988768,0.45432486834046815,0.40660190136331403
12610225.5331659,12.6102255331659,0.45402636434204496,0.4074429950542295
12712711.437343031,12.712711437343032,0.4537275681247964,0.40828262464102905
12815197.341520162,12.815197341520163,0.45342847207034703,0.40912089152726844
12917683.245697293,12.917683245697294,0.4531290683963205,0.40995789727824705
13020169.149874425,13.020169149874425,0.45282934915066464,0.41079374374544897
13122655.054051556,13.122655054051556,0.45252930620544196,0.41162853319450426
13225140.958228687,13.225140958228687,0.4522289312500575,0.4124623684369879
13327626.862405818,13.327626862405818,0.45192821578389253,0.41329535296642034
13430112.76658295,13.43011276658295,0.45162715110830626,0.41412759109884534
13532598.67076008,13.53259867076008,0.45132572831797396,0.41495918811833066
13635084.574937211,13.635084574937212,0.45102393829151427,0.41579025042777684
13737570.479114344,13.737570479114344,0.4507217716813718,0.4166208857054346
13840056.383291475,13.840056383291476,0.4504192189029038,0.41745120306748235
13942542.287468607,13.942542287468607,0.45011627012262867,0.4182813132371062
14045028.191645738,14.045028191645738,0.44981291524558265,0.41911132872045315
14147514.095822869,14.147514095822869,0.4495091439017326,0.4199413639898957
14250000.0,14.25,0.4492049454313913,0.42077153567501835
