Pressure_kPa,Temperature_C,Position_m,Temperature_K,Volume
270.965,26.53,0.148,299.67999999999995,0.0022782829923833183
273.761,26.53,0.1467,299.67999999999995,0.0022582710471799514
276.618,26.67,0.1455,299.82,0.002239798482376843
279.579,26.64,0.144,299.78999999999996,0.002216707776372958
281.87,26.67,0.1429,299.82,0.0021997745919701095
284.651,26.72,0.1416,299.87,0.0021797626467667426
286.593,26.89,0.1405,300.03999999999996,0.0021628294623638935
288.931,26.95,0.1392,300.09999999999997,0.002142817517160526
292.235,27.0,0.1379,300.15,0.0021228055719571593
294.829,27.07,0.1367,300.21999999999997,0.002104333007154051
297.869,27.13,0.1355,300.28,0.0020858604423509433
299.45,27.18,0.1347,300.33,0.002073545399148871
301.126,27.19,0.1338,300.34,0.0020596909755465406
302.901,27.25,0.1329,300.4,0.002045836551944209
305.251,27.37,0.1319,300.52,0.002030442747941619
308.772,27.38,0.1308,300.53,0.0020135095635387705
311.406,27.4,0.1298,300.54999999999995,0.0019981157595361804
313.965,27.55,0.1286,300.7,0.0019796431947330727
317.236,27.59,0.1275,300.73999999999995,0.0019627100103302235
319.252,27.58,0.1264,300.72999999999996,0.0019457768259273746
322.268,27.74,0.1254,300.89,0.0019303830219247848
325.127,27.71,0.1241,300.85999999999996,0.0019103710767214175
330.546,27.76,0.1226,300.90999999999997,0.0018872803707175327
336.303,27.83,0.1207,300.97999999999996,0.0018580321431126117
341.804,27.89,0.119,301.03999999999996,0.0018318626763082087
347.671,27.98,0.1176,301.13,0.0018103113507045826
350.003,28.18,0.1166,301.33,0.0017949175467019927
351.271,28.22,0.1161,301.37,0.0017872206447006977
349.736,28.19,0.1161,301.34,0.0017872206447006977
348.484,28.25,0.1161,301.4,0.0017872206447006977
347.665,28.41,0.1161,301.56,0.0017872206447006977
346.311,28.35,0.1161,301.5,0.0017872206447006977
349.039,28.4,0.1154,301.54999999999995,0.0017764449818988848
357.59,28.47,0.1132,301.62,0.0017425786130931867
364.016,28.55,0.1115,301.7,0.001716409146288784
370.549,28.67,0.1098,301.82,0.0016902396794843805
377.583,28.7,0.1084,301.84999999999997,0.0016686883538807548
379.764,28.72,0.1074,301.87,0.0016532945498781645
384.655,28.84,0.1062,301.98999999999995,0.001634821985075057
388.515,28.93,0.1052,302.08,0.0016194281810724667
391.49,28.97,0.1045,302.12,0.0016086525182706537
394.443,29.1,0.1036,302.25,0.0015947980946683228
394.302,29.19,0.1035,302.34,0.0015932587142680637
393.001,29.23,0.1035,302.38,0.0015932587142680637
391.733,29.43,0.1034,302.58,0.0015917193338678048
390.189,29.42,0.1034,302.57,0.0015917193338678048
390.148,29.52,0.1034,302.66999999999996,0.0015917193338678048
388.798,29.65,0.1034,302.79999999999995,0.0015917193338678048
397.569,29.63,0.1015,302.78,0.001562471106262884
408.451,29.81,0.0993,302.96,0.0015286047374571858
414.88,29.78,0.0981,302.92999999999995,0.0015101321726540779
420.156,29.98,0.097,303.13,0.001493198988251229
422.564,29.99,0.0965,303.14,0.001485502086249934
421.416,30.15,0.0965,303.29999999999995,0.001485502086249934
418.533,30.19,0.0964,303.34,0.0014839627058496748
418.357,30.27,0.0964,303.41999999999996,0.0014839627058496748
416.469,30.38,0.0963,303.53,0.0014824233254494158
427.1,30.39,0.0945,303.53999999999996,0.001454714478244754
428.039,30.46,0.0944,303.60999999999996,0.001453175097844495
426.293,30.61,0.0943,303.76,0.001451635717444236
425.556,30.72,0.0943,303.87,0.001451635717444236
424.655,30.69,0.0943,303.84,0.001451635717444236
422.611,30.86,0.0943,304.01,0.001451635717444236
421.733,30.92,0.0944,304.07,0.001453175097844495
420.779,30.88,0.0943,304.03,0.001451635717444236
418.96,30.92,0.0944,304.07,0.001453175097844495
419.227,31.03,0.0944,304.17999999999995,0.001453175097844495
418.298,31.08,0.0944,304.22999999999996,0.001453175097844495
422.977,31.07,0.0935,304.21999999999997,0.0014393206742421638
436.197,31.16,0.0911,304.31,0.0014023755446359479
447.665,31.23,0.0896,304.38,0.001379284838632063
457.151,31.37,0.0882,304.52,0.0013577335130284369
458.147,31.37,0.0877,304.52,0.001350036611027142
456.689,31.39,0.0878,304.53999999999996,0.001351575991427401
454.31,31.48,0.0877,304.63,0.001350036611027142
453.675,31.61,0.0878,304.76,0.001351575991427401
453.279,31.66,0.0878,304.81,0.001351575991427401
451.333,31.62,0.0878,304.77,0.001351575991427401
449.464,31.75,0.0878,304.9,0.001351575991427401
453.789,31.71,0.087,304.85999999999996,0.0013392609482253289
460.545,31.77,0.0862,304.91999999999996,0.001326945905023257
459.924,31.91,0.0862,305.06,0.001326945905023257
457.91,31.9,0.0862,305.04999999999995,0.001326945905023257
456.299,31.97,0.0862,305.12,0.001326945905023257
455.382,31.96,0.0861,305.10999999999996,0.001325406524622998
453.775,32.08,0.0861,305.22999999999996,0.001325406524622998
453.91,32.09,0.0861,305.24,0.001325406524622998
451.947,32.04,0.0861,305.19,0.001325406524622998
451.774,32.02,0.0862,305.16999999999996,0.001326945905023257
450.334,32.11,0.0862,305.26,0.001326945905023257
466.738,32.11,0.084,305.26,0.0012930795362175592
478.829,32.1,0.0826,305.25,0.0012715282106139333
476.162,32.26,0.0826,305.40999999999997,0.0012715282106139333
475.915,32.17,0.0826,305.32,0.0012715282106139333
475.064,32.27,0.0825,305.41999999999996,0.0012699888302136742
473.746,32.25,0.0826,305.4,0.0012715282106139333
473.038,32.24,0.0824,305.39,0.001268449449813415
472.156,32.32,0.0824,305.46999999999997,0.001268449449813415
471.161,32.36,0.0825,305.51,0.0012699888302136742
470.581,32.31,0.0824,305.46,0.001268449449813415
469.099,32.39,0.0824,305.53999999999996,0.001268449449813415
468.917,32.4,0.0823,305.54999999999995,0.001266910069413156
467.41,32.45,0.0824,305.59999999999997,0.001268449449813415
